gn,fileId,ok,size,mean_db,note,src_sdm
sdom1782,11782,1,1665933,-10.8,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1782.sdm
sdom1776,11776,1,8125725,-11.0,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1776.sdm
sdom1777,11777,1,8541765,-9.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1777.sdm
sdom1785,11785,1,1515163,-7.6,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1785.sdm
sdom1778,11778,1,8626581,-9.5,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1778.sdm
sdom1786,11786,1,1232642,-9.0,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1786.sdm
sdom1787,11787,1,1385778,-10.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1787.sdm
sdom1788,11788,1,1441651,-11.0,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1788.sdm
sdom1789,11789,1,1232677,-9.4,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1789.sdm
sdom1790,11790,1,1568508,-11.4,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1790.sdm
sdom1791,11791,1,926748,-9.9,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1791.sdm
sdom1850,11850,1,1309440,-11.2,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1850.sdm
sdom1796,11796,1,7978031,-10.0,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1796.sdm
sdom1798,11798,1,7531347,-10.9,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1798.sdm
sdom1868,11868,1,1717838,-13.6,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1868.sdm
sdom1869,11869,1,1837931,-11.7,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1869.sdm
sdom1870,11870,1,1632126,-10.4,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1870.sdm
sdom1874,11874,1,871077,-21.3,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1874.sdm
sdom1872,11872,1,1232223,-11.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1872.sdm
sdom1875,11875,1,1264095,-14.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1875.sdm
